step,time_s,case_name,alt_ft,vc_kts,theta_deg,phi_deg,hdot_fps,q_dps,elev_raw,elev_comp,elev_plant,throttle,speedbrake,case_gamma_estimate,physical_gamma,comp_factor,mrac_elev,observer_bias_q,observer_bias_theta,detector_severity,detector_confidence,rl_residual,interlock_tripped
1,0.0,FULL_STACK,15093.312538702041,488.1519449862539,0.38452726108730717,1.8555947183735964,9.820865495499701,-0.0026468271453802547,-0.013178031589897022,-0.02711744762590681,-0.02711744762590681,0.15,0.0020833333333333333,1.0,1.0,1.0,-0.013939416036009789,0.0,0.0,1.0,1.0,0.0,False
2,0.008333,FULL_STACK,15093.394017338753,488.18153218969775,0.3843648258138789,1.9186799514692263,9.826935207641142,0.05072530813706645,-0.010261364923230355,-0.024256732025555318,-0.024256732025555318,0.15,0.004166666666666667,1.0,1.0,1.0,-0.013995367102324963,0.0,0.0,1.0,1.0,0.0,False
3,0.016667,FULL_STACK,15093.476163133979,488.2078278531587,0.38474953620556007,1.9393546214040573,9.863183845446368,0.08804853332754706,-0.007344698256563689,-0.021331275536429432,-0.021331275536429432,0.15,0.00625,1.0,1.0,1.0,-0.013986577279865742,0.0,0.0,1.0,1.0,0.0,False
4,0.025,FULL_STACK,15093.558611482382,488.23044073605735,0.385562552387473,1.9196619150259324,9.93122158845924,0.1098524445434807,-0.0044280315898970225,-0.018376295190365658,-0.018376295190365658,0.15,0.008333333333333333,1.0,1.0,1.0,-0.013948263600468636,0.0,0.0,1.0,1.0,0.0,False
5,0.033333,FULL_STACK,15093.641764849424,488.2608255848505,0.38663396903020525,1.8587039369875558,9.936554823394198,0.11912051406979901,-0.00163021370528542,-0.015509078872784009,-0.015509078872784009,0.15,0.010416666666666666,1.0,1.0,1.0,-0.013878865167498589,0.0,0.0,1.0,1.0,0.0,False
6,0.041667,FULL_STACK,15093.724373295903,488.2952092453963,0.3876774712975623,1.8397531417191626,9.909329985024577,0.11501075951039724,-0.0018834716899863908,-0.015754199892150565,-0.015754199892150565,0.15,0.012499999999999999,1.0,1.0,1.0,-0.013870728202164173,0.0,0.0,1.0,1.0,0.0,False
7,0.05,FULL_STACK,15093.806723888963,488.33333087291794,0.3885763342713807,1.8616564241820637,9.850663383920105,0.11288629790372931,-0.0021175012436938354,-0.016011934399349698,-0.016011934399349698,0.15,0.014583333333333332,1.0,1.0,1.0,-0.013894433155655861,0.0,0.0,1.0,1.0,0.0,False
8,0.058333,FULL_STACK,15093.888458456844,488.36382456909354,0.38937569084879714,1.9250500524840906,9.854536872028328,0.11040493628355479,-0.002448881748536698,-0.01639776002190458,-0.01639776002190458,0.15,0.016666666666666666,1.0,1.0,1.0,-0.013948878273367882,0.0,0.0,1.0,1.0,0.0,False
9,0.066667,FULL_STACK,15093.970812216401,488.3904461165192,0.39025729689703786,1.9459957874027973,9.890553602676862,0.1081458944468199,-0.0019102130283261591,-0.01585243234528554,-0.01585243234528554,0.15,0.01875,1.0,1.0,1.0,-0.013942219316959381,0.0,0.0,1.0,1.0,0.0,False
10,0.075,FULL_STACK,15094.053494494408,488.41327556014403,0.3912378944047626,1.9265389114810079,9.958583258701797,0.10233822973639517,-0.00147958971314924,-0.015383713280193976,-0.015383713280193976,0.15,0.020833333333333332,1.0,1.0,1.0,-0.013904123567044735,0.0,0.0,1.0,1.0,0.0,False
11,0.083333,FULL_STACK,15094.136876624078,488.4437251406278,0.392247140997817,1.8657824355500126,9.964359788469288,0.09641327334525544,-0.001009056645196418,-0.01484378643588398,-0.01484378643588398,0.15,0.022916666666666665,1.0,1.0,1.0,-0.013834729790687561,0.0,0.0,1.0,1.0,0.0,False
