step,time_s,case_name,alt_ft,vc_kts,theta_deg,phi_deg,hdot_fps,q_dps,elev_raw,elev_comp,elev_plant,throttle,speedbrake,case_gamma_estimate,physical_gamma,comp_factor,mrac_elev,observer_bias_q,observer_bias_theta,detector_severity,detector_confidence,rl_residual,interlock_tripped
1,0.0,HYBRID,15093.312538702041,488.1519449862539,0.38452726108730717,1.8555947183735964,9.820865495499701,-0.0026468271453802547,-0.013178031589897022,-0.013178031589897022,-0.013178031589897022,0.15,0.0020833333333333333,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
2,0.008333,HYBRID,15093.394017338753,488.182727590905,0.3843648258138789,1.9186799514692263,9.821984255429276,-0.017216405871379313,-0.010261364923230355,-0.010261364923230355,-0.010261364923230355,0.15,0.004166666666666667,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
3,0.016667,HYBRID,15093.476084053516,488.2098228492758,0.38418367623982275,1.9393544979849917,9.854156995801109,-0.04735397689268036,-0.007344698256563689,-0.007344698256563689,-0.007344698256563689,0.15,0.00625,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
4,0.025,HYBRID,15093.55844323337,488.23322572493385,0.38386897264745945,1.9196616057667817,9.917445643840429,-0.09209063359556365,-0.0044280315898970225,-0.0044280315898970225,-0.0044280315898970225,0.15,0.008333333333333333,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
5,0.033333,HYBRID,15093.641459681094,488.2643879737738,0.3832584477411322,1.8587031121613296,9.917274049369494,-0.14819771540548923,-0.002901959731883636,-0.002901959731883636,-0.002901959731883636,0.15,0.010416666666666666,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
6,0.041667,HYBRID,15093.72388188541,488.29942277247534,0.38207550008893815,1.8397524597678951,9.884157413234762,-0.21008475891340067,-0.0037544638214370616,-0.0037544638214370616,-0.0037544638214370616,0.15,0.012499999999999999,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
7,0.05,HYBRID,15093.80599681288,488.3381670375451,0.3802667025802653,1.861657473853505,9.818781030879743,-0.26595403085222863,-0.004601591480581401,-0.004601591480581401,-0.004601591480581401,0.15,0.014583333333333332,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
8,0.058333,HYBRID,15093.887434896082,488.36923327213236,0.37791080684161416,1.9250556520502495,9.815146989067593,-0.3181946335602788,-0.005537988551482295,-0.005537988551482295,-0.005537988551482295,0.15,0.016666666666666666,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
9,0.066667,HYBRID,15093.96942635253,488.3963780927331,0.37522273898230046,1.946001379461731,9.842803513037516,-0.3663708375844569,-0.005608038923632794,-0.005608038923632794,-0.005608038923632794,0.15,0.01875,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
10,0.075,HYBRID,15094.05167291686,488.41967302224526,0.3722512175514088,1.926538322388088,9.901609178033937,-0.41390115089617635,-0.005788803892541018,-0.005788803892541018,-0.005788803892541018,0.15,0.020833333333333332,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
