seed,alt_ft,vc_kts,gamma_true,mode,integrity_source,fault_onset_s,noise,max_abs_dh,ise_h,max_abs_q,max_abs_theta,min_theta,max_theta,control_effort,residual_steps,crash,interlock,detect_delay_s,mae_gamma_online,final_h,final_vc,ok,note
0,15000.0,400.0,0.5,BASELINE,none,15.0,1,580.7816473022103,7160094.981625384,0.5626567344364675,0.38452467214230635,-0.05848850235815438,0.38452467214230635,0.009357160748664673,0,0,0,nan,0.5,15674.01255935803,560.7854960856024,1,
1,15000.0,400.0,0.5,BASELINE,none,15.0,1,580.7816473022103,7160094.981625384,0.5626567344364675,0.38452467214230635,-0.05848850235815438,0.38452467214230635,0.009357160748664673,0,0,0,nan,0.5,15674.01255935803,560.7854960856024,1,
2,15000.0,400.0,0.5,BASELINE,none,15.0,1,580.7816473022103,7160094.981625384,0.5626567344364675,0.38452467214230635,-0.05848850235815438,0.38452467214230635,0.009357160748664673,0,0,0,nan,0.5,15674.01255935803,560.7854960856024,1,
3,15000.0,400.0,0.5,BASELINE,none,15.0,1,580.7816473022103,7160094.981625384,0.5626567344364675,0.38452467214230635,-0.05848850235815438,0.38452467214230635,0.009357160748664673,0,0,0,nan,0.5,15674.01255935803,560.7854960856024,1,
4,15000.0,400.0,0.5,BASELINE,none,15.0,1,580.7816473022103,7160094.981625384,0.5626567344364675,0.38452467214230635,-0.05848850235815438,0.38452467214230635,0.009357160748664673,0,0,0,nan,0.5,15674.01255935803,560.7854960856024,1,
5,15000.0,400.0,0.5,BASELINE,none,15.0,1,580.7816473022103,7160094.981625384,0.5626567344364675,0.38452467214230635,-0.05848850235815438,0.38452467214230635,0.009357160748664673,0,0,0,nan,0.5,15674.01255935803,560.7854960856024,1,
6,15000.0,400.0,0.5,BASELINE,none,15.0,1,580.7816473022103,7160094.981625384,0.5626567344364675,0.38452467214230635,-0.05848850235815438,0.38452467214230635,0.009357160748664673,0,0,0,nan,0.5,15674.01255935803,560.7854960856024,1,
7,15000.0,400.0,0.5,BASELINE,none,15.0,1,580.7816473022103,7160094.981625384,0.5626567344364675,0.38452467214230635,-0.05848850235815438,0.38452467214230635,0.009357160748664673,0,0,0,nan,0.5,15674.01255935803,560.7854960856024,1,
8,15000.0,400.0,0.5,BASELINE,none,15.0,1,580.7816473022103,7160094.981625384,0.5626567344364675,0.38452467214230635,-0.05848850235815438,0.38452467214230635,0.009357160748664673,0,0,0,nan,0.5,15674.01255935803,560.7854960856024,1,
9,15000.0,400.0,0.5,BASELINE,none,15.0,1,580.7816473022103,7160094.981625384,0.5626567344364675,0.38452467214230635,-0.05848850235815438,0.38452467214230635,0.009357160748664673,0,0,0,nan,0.5,15674.01255935803,560.7854960856024,1,
0,15000.0,400.0,0.5,HYBRID,oracle,15.0,1,565.0078638717532,6943612.05146184,0.15907888067618225,0.4181357481197596,-0.07349744977183333,0.4181357481197596,0.009466785739424994,0,0,0,0.25833333333246955,0.0158754272446324,15658.238775927573,561.0101213569191,1,
1,15000.0,400.0,0.5,HYBRID,oracle,15.0,1,564.9906139038503,6943130.395298759,0.15907858579084216,0.4181366781769482,-0.0739016136628061,0.4181366781769482,0.009466376917945909,0,0,0,0.24166666666580383,0.015946423074109695,15658.22152595967,561.0103213914963,1,
2,15000.0,400.0,0.5,HYBRID,oracle,15.0,1,565.0033099353313,6943416.57589168,0.15907966422135383,0.41813659829008143,-0.07356428482790625,0.41813659829008143,0.009465854392720604,0,0,0,0.2249999999991381,0.01589133305109446,15658.234221991152,561.0101637053123,1,
3,15000.0,400.0,0.5,HYBRID,oracle,15.0,1,564.9818608984351,6943130.72130346,0.15907889705404987,0.41813656560603846,-0.07387710264930711,0.41813656560603846,0.009465993311015383,0,0,0,0.25833333333246955,0.016090871492575126,15658.212772954255,561.0105577033307,1,
4,15000.0,400.0,0.5,HYBRID,oracle,15.0,1,564.9953127466142,6943201.11724725,0.15907758181547352,0.418136457353014,-0.07334662734729999,0.418136457353014,0.009465654787627542,0,0,0,0.19166666666580667,0.01592690857588981,15658.226224802434,561.0102982713954,1,
5,15000.0,400.0,0.5,HYBRID,oracle,15.0,1,564.9870473146439,6943303.173752216,0.15907996296421717,0.41813749875329637,-0.07339881929652523,0.41813749875329637,0.00946577602988906,0,0,0,0.2249999999991381,0.01621016674887772,15658.217959370464,561.0103907585645,1,
6,15000.0,400.0,0.5,HYBRID,oracle,15.0,1,564.9742217585444,6943143.65080338,0.15907448807206426,0.41813505415956176,-0.07311410031386863,0.41813505415956176,0.009465256403412631,0,0,0,0.19999999999913953,0.016044203730168276,15658.205133814365,561.0106367484892,1,
7,15000.0,400.0,0.5,HYBRID,oracle,15.0,1,564.9724389985204,6943121.96919889,0.15908100814232173,0.4181374484445006,-0.07321000589128365,0.4181374484445006,0.009464647652693304,0,0,0,0.21666666666580525,0.01590687085407507,15658.20335105434,561.0107144375557,1,
8,15000.0,400.0,0.5,HYBRID,oracle,15.0,1,564.9938568919897,6943361.016237289,0.1590769839922298,0.41813601344400186,-0.0735610320179584,0.41813601344400186,0.009466633061687288,0,0,0,0.2499999999991367,0.015935227903957024,15658.22476894781,561.0103789517157,1,
9,15000.0,400.0,0.5,HYBRID,oracle,15.0,1,564.9535662606359,6942512.909221845,0.15907517206768765,0.4181359343035174,-0.07354506371102543,0.4181359343035174,0.009465128111020306,0,0,0,0.19999999999913953,0.016138568898634156,15658.184478316456,561.010907234628,1,
0,15000.0,400.0,0.5,FULL_STACK,oracle,15.0,1,569.9236536473036,7106854.099494362,0.15907888067618225,0.4181357481197596,-0.0751401839764693,0.4181357481197596,0.009462532896043749,5369,0,0,0.25833333333246955,0.0158754272446324,15663.154565703124,560.9671798205782,1,
1,15000.0,400.0,0.5,FULL_STACK,oracle,15.0,1,569.9045667611063,7106343.4609825015,0.15907858579084216,0.4181366781769482,-0.07555552076632045,0.4181366781769482,0.009462004756782518,5370,0,0,0.24166666666580383,0.015946423074109695,15663.135478816926,560.9674163889874,1,
2,15000.0,400.0,0.5,FULL_STACK,oracle,15.0,1,569.9254039376974,7106907.471361695,0.15907966422135383,0.41813659829008143,-0.0751904845095603,0.41813659829008143,0.009461583040873429,5371,0,0,0.2249999999991381,0.01589133305109446,15663.156315993518,560.9671901102408,1,
3,15000.0,400.0,0.5,FULL_STACK,oracle,15.0,1,569.9202014617622,7106730.109855671,0.15907889705404987,0.41813656560603846,-0.07551702771833167,0.41813656560603846,0.009462445406611302,5368,0,0,0.25833333333246955,0.016090871492575126,15663.151113517582,560.9672941366679,1,
4,15000.0,400.0,0.5,FULL_STACK,oracle,15.0,1,569.9203793294728,7106827.490482463,0.15907758181547352,0.418136457353014,-0.07498789524729112,0.418136457353014,0.009461538966091516,5373,0,0,0.19166666666580667,0.01592690857588981,15663.151291385293,560.967323378736,1,
5,15000.0,400.0,0.5,FULL_STACK,oracle,15.0,1,569.8953871913254,7106307.601512041,0.15907996296421717,0.41813749875329637,-0.07505893036030017,0.41813749875329637,0.00946121841031671,5370,0,0,0.2249999999991381,0.01621016674887772,15663.126299247146,560.9675013321447,1,
6,15000.0,400.0,0.5,FULL_STACK,oracle,15.0,1,569.9078368991613,7106732.453390074,0.15907448807206426,0.41813505415956176,-0.0749068282895093,0.41813505415956176,0.009461405898530678,5370,0,0,0.19999999999913953,0.016044203730168276,15663.138748954982,560.9674832315471,1,
7,15000.0,400.0,0.5,FULL_STACK,oracle,15.0,1,569.8948554955423,7106359.158196728,0.15908100814232173,0.4181374484445006,-0.07482650596477933,0.4181374484445006,0.009460567874899697,5372,0,0,0.21666666666580525,0.01590687085407507,15663.125767551363,560.9676187197502,1,
8,15000.0,400.0,0.5,FULL_STACK,oracle,15.0,1,569.8934101574123,7106535.202209416,0.1590769839922298,0.41813601344400186,-0.07517840586797435,0.41813601344400186,0.009461539299430066,5370,0,0,0.2499999999991367,0.015935227903957024,15663.124322213233,560.9677835761524,1,
