seed,alt_ft,vc_kts,gamma_true,mode,integrity_source,fault_onset_s,noise,max_abs_dh,ise_h,max_abs_q,max_abs_theta,min_theta,max_theta,control_effort,residual_steps,crash,interlock,detect_delay_s,mae_gamma_online,final_h,final_vc,ok,note
0,15000.0,400.0,0.5,BASELINE,none,18.778014593675813,0,580.9258960522711,7156863.339239641,0.5626567344364675,0.38452467214230635,-0.05855001496374413,0.38452467214230635,0.009267502194123057,0,0,0,nan,0.5,15674.156808108091,560.782348067429,1,
1,15000.0,400.0,0.5,BASELINE,none,19.963734071409363,0,580.9473618902266,7154504.823325656,0.5626567344364675,0.38452467214230635,-0.05854369426792786,0.38452467214230635,0.009217224498735327,0,0,0,nan,0.5,15674.178273946047,560.7815226709188,1,
2,15000.0,400.0,0.5,BASELINE,none,16.950675073280507,0,580.8148293048143,7158323.885393289,0.5626567344364675,0.38452467214230635,-0.05859119261448884,0.38452467214230635,0.009321603768244884,0,0,0,nan,0.5,15674.045741360635,560.7846437603952,1,
3,15000.0,400.0,0.5,BASELINE,none,14.440845787492234,0,580.8021454773843,7160576.654088381,0.5626567344364675,0.38452467214230635,-0.05844490978251053,0.38452467214230635,0.009364099406301228,0,0,0,nan,0.5,15674.033057533205,560.7851074633915,1,
4,15000.0,400.0,0.5,BASELINE,none,12.011445885629294,0,580.7515892758965,7161149.62254482,0.5626567344364675,0.38452467214230635,-0.0585137837061845,0.38452467214230635,0.009373219987554231,0,0,0,nan,0.5,15673.982501331717,560.7861917560209,1,
5,15000.0,400.0,0.5,BASELINE,none,13.068849249882618,0,580.7435591183603,7160630.382655524,0.5626567344364675,0.38452467214230635,-0.058505521430670344,0.38452467214230635,0.009370762277619748,0,0,0,nan,0.5,15673.97447117418,560.7862078331156,1,
6,15000.0,400.0,0.5,BASELINE,none,16.37997863644672,0,580.8148085661232,7158924.575840622,0.5626567344364675,0.38452467214230635,-0.058512711520865346,0.38452467214230635,0.00933519526404289,0,0,0,nan,0.5,15674.045720621943,560.7846444564715,1,
7,15000.0,400.0,0.5,BASELINE,none,12.925924186991516,0,580.7272214703262,7160307.611260362,0.5626567344364675,0.38452467214230635,-0.0585362946199211,0.38452467214230635,0.009370577137372521,0,0,0,nan,0.5,15673.958133526146,560.7864166987204,1,
8,15000.0,400.0,0.5,BASELINE,none,14.174285737710044,0,580.7673734463751,7160612.932487294,0.5626567344364675,0.38452467214230635,-0.05849460517403473,0.38452467214230635,0.0093654514979057,0,0,0,nan,0.5,15673.998285502195,560.7858434459614,1,
9,15000.0,400.0,0.5,BASELINE,none,12.73450600669471,0,580.7395579069853,7160559.285297762,0.5626567344364675,0.38452467214230635,-0.05851217753523206,0.38452467214230635,0.00937181289346352,0,0,0,nan,0.5,15673.970469962806,560.7862171556887,1,
0,15000.0,400.0,0.5,HYBRID,oracle,18.778014593675813,0,564.9795798026025,6943730.093003225,0.15907895606801742,0.4181366156043766,-0.07359394502253934,0.4181366156043766,0.009374370464462371,0,0,0,0.22198540632311037,0.016819396242517017,15658.210491858423,561.010615632799,1,
1,15000.0,400.0,0.5,HYBRID,oracle,19.963734071409363,0,564.9776429869235,6944121.9142368585,0.15907895606801742,0.4181366156043766,-0.07372215882229269,0.4181366156043766,0.00932543046586564,0,0,0,0.20293259525616136,0.017052707407020248,15658.208555042744,561.0108693719761,1,
2,15000.0,400.0,0.5,HYBRID,oracle,16.950675073280507,0,564.9965816885233,6943545.453588684,0.15907895606801742,0.4181366156043766,-0.07397299549730467,0.4181366156043766,0.009430330639102823,0,0,0,0.23265826005185275,0.016413564038167055,15658.227493744344,561.0103382617771,1,
3,15000.0,400.0,0.5,HYBRID,oracle,14.440845787492234,0,565.0077588707209,6943233.290015569,0.15907895606801742,0.4181366156043766,-0.07458761506790347,0.4181366156043766,0.00947272419807538,0,0,0,0.2341542125069349,0.016053560493992043,15658.238670926541,561.0099365679592,1,
4,15000.0,400.0,0.5,HYBRID,oracle,12.011445885629294,0,564.988266069442,6942756.10396222,0.15907895606801742,0.4181366156043766,-0.0732711421431232,0.4181366156043766,0.009481716762786465,0,0,0,0.2135541143700106,0.01550280571526642,15658.219178125262,561.0103515802035,1,
5,15000.0,400.0,0.5,HYBRID,oracle,13.068849249882618,0,564.9806798696518,6942842.728759095,0.15907895606801742,0.4181366156043766,-0.07330376491049646,0.4181366156043766,0.009480822051996698,0,0,0,0.22281741678329325,0.01571562660739447,15658.211591925472,561.0106044952685,1,
6,15000.0,400.0,0.5,HYBRID,oracle,16.37997863644672,0,564.9875788576901,6943637.564396805,0.15907895606801742,0.4181366156043766,-0.07362609796241618,0.4181366156043766,0.009443128229065007,0,0,0,0.20335469688567542,0.01628689163758761,15658.21849091351,561.0104821840382,1,
7,15000.0,400.0,0.5,HYBRID,oracle,12.925924186991516,0,564.9840251766145,6943074.585167024,0.15907895606801742,0.4181366156043766,-0.07346405654817115,0.4181366156043766,0.00948047437443846,0,0,0,0.2240758130077367,0.01559802446638035,15658.214937232435,561.0105329756612,1,
8,15000.0,400.0,0.5,HYBRID,oracle,14.174285737710044,0,564.9841158315539,6943185.045259338,0.15907895606801742,0.4181366156043766,-0.07364419554158376,0.4181366156043766,0.009474534692916205,0,0,0,0.23404759562247435,0.0159931211313429,15658.215027887374,561.010572535607,1,
9,15000.0,400.0,0.5,HYBRID,oracle,12.73450600669471,0,565.0041366331279,6943093.440558812,0.15907895606801742,0.4181366156043766,-0.07347424257291964,0.4181366156043766,0.009482963817046728,0,0,0,0.23216065997121937,0.01585070896170878,15658.235048688948,561.010068498086,1,
0,15000.0,400.0,0.5,FULL_STACK,oracle,18.778014593675813,0,570.06510489434,7099618.294584608,0.15907895606801742,0.4181366156043766,-0.07518765324237599,0.4181366156043766,0.009364595213585448,4920,0,0,0.22198540632311037,0.016819396242517017,15663.29601695016,560.963217336609,1,
1,15000.0,400.0,0.5,FULL_STACK,oracle,19.963734071409363,0,570.1238928437233,7097624.127878318,0.15907895606801742,0.4181366156043766,-0.0753235309610045,0.4181366156043766,0.009314785289750977,4775,0,0,0.20293259525616136,0.017052707407020248,15663.354804899544,560.9619050653596,1,
2,15000.0,400.0,0.5,FULL_STACK,oracle,16.950675073280507,0,569.982856374234,7103098.0902306475,0.15907895606801742,0.4181366156043766,-0.07568167207325495,0.4181366156043766,0.009422058178633798,5137,0,0,0.23265826005185275,0.016413564038167055,15663.213768430054,560.9655118385426,1,
3,15000.0,400.0,0.5,FULL_STACK,oracle,14.440845787492234,0,569.869843583554,7107244.159269799,0.15907895606801742,0.4181366156043766,-0.07617067725924699,0.4181366156043766,0.009468358074437912,5438,0,0,0.2341542125069349,0.016053560493992043,15663.100755639374,560.9682081484377,1,
4,15000.0,400.0,0.5,FULL_STACK,oracle,12.011445885629294,0,569.7838829755783,7110311.681770419,0.15907895606801742,0.4181366156043766,-0.07492015360471319,0.4181366156043766,0.009484685545052232,5731,0,0,0.2135541143700106,0.01550280571526642,15663.014795031399,560.9701659230794,1,
5,15000.0,400.0,0.5,FULL_STACK,oracle,13.068849249882618,0,569.8420091718435,7109601.680833275,0.15907895606801742,0.4181366156043766,-0.07498382746378833,0.4181366156043766,0.009481889330926531,5604,0,0,0.22281741678329325,0.01571562660739447,15663.072921227664,560.9692251467173,1,
6,15000.0,400.0,0.5,FULL_STACK,oracle,16.37997863644672,0,569.9621166735888,7104484.795636369,0.15907895606801742,0.4181366156043766,-0.07521797978542315,0.4181366156043766,0.009436216172897279,5207,0,0,0.20335469688567542,0.01628689163758761,15663.193028729409,560.966082377457,1,
7,15000.0,400.0,0.5,FULL_STACK,oracle,12.925924186991516,0,569.8203768096864,7109250.7239885535,0.15907895606801742,0.4181366156043766,-0.07513772384507579,0.4181366156043766,0.009481316920261267,5622,0,0,0.2240758130077367,0.01559802446638035,15663.051288865507,560.9693609965719,1,
8,15000.0,400.0,0.5,FULL_STACK,oracle,14.174285737710044,0,569.8788810931146,7108005.849110734,0.15907895606801742,0.4181366156043766,-0.07533229457876423,0.4181366156043766,0.009472258046381864,5469,0,0,0.23404759562247435,0.0159931211313429,15663.109793148935,560.9682774824431,1,
9,15000.0,400.0,0.5,FULL_STACK,oracle,12.73450600669471,0,569.8029048517346,7109529.028388617,0.15907895606801742,0.4181366156043766,-0.07508123735237915,0.4181366156043766,0.009483039246887476,5643,0,0,0.23216065997121937,0.01585070896170878,15663.033816907555,560.9697429383926,1,
0,15000.0,400.0,0.8,BASELINE,none,18.778014593675813,0,573.541008926928,6959425.246983101,0.5626567344364675,0.38452467214230635,-0.05787574951347051,0.38452467214230635,0.004172466634272107,0,0,0,nan,0.20000000000001777,15666.771920982748,560.8604440749297,1,
1,15000.0,400.0,0.8,BASELINE,none,19.963734071409363,0,573.5491032935679,6958595.860756493,0.5626567344364675,0.38452467214230635,-0.0578577612422292,0.38452467214230635,0.004163042713286348,0,0,0,nan,0.20000000000001697,15666.780015349388,560.8600701183224,1,
2,15000.0,400.0,0.8,BASELINE,none,16.950675073280507,0,573.5346790216863,6959683.94630982,0.5626567344364675,0.38452467214230635,-0.057860756309386814,0.38452467214230635,0.004182995863980071,0,0,0,nan,0.20000000000001894,15666.765591077507,560.8604986175169,1,
3,15000.0,400.0,0.8,BASELINE,none,14.440845787492234,0,573.5132683701813,6960126.918967682,0.5626567344364675,0.38452467214230635,-0.05781379924606339,0.38452467214230635,0.004190580663106466,0,0,0,nan,0.20000000000002038,15666.744180426002,560.8609810586576,1,
4,15000.0,400.0,0.8,BASELINE,none,12.011445885629294,0,573.5015942305326,6960366.2222953485,0.5626567344364675,0.38452467214230635,-0.05784721984069098,0.38452467214230635,0.0041923892169868585,0,0,0,nan,0.20000000000002166,15666.732506286353,560.8612700640122,1,
5,15000.0,400.0,0.8,BASELINE,none,13.068849249882618,0,573.5172802843153,6960535.471551581,0.5626567344364675,0.38452467214230635,-0.05781351922586067,0.38452467214230635,0.004192273583586702,0,0,0,nan,0.20000000000002113,15666.748192340136,560.860996776608,1,
6,15000.0,400.0,0.8,BASELINE,none,16.37997863644672,0,573.4852048233151,6959433.405939462,0.5626567344364675,0.38452467214230635,-0.057845352580941846,0.38452467214230635,0.004184766193984821,0,0,0,nan,0.20000000000001927,15666.716116879135,560.8614424561418,1,
7,15000.0,400.0,0.8,BASELINE,none,12.925924186991516,0,573.5117308050394,6960280.488979246,0.5626567344364675,0.38452467214230635,-0.05781673494525268,0.38452467214230635,0.0041922407225192726,0,0,0,nan,0.2000000000000212,15666.74264286086,560.8610034499819,1,
8,15000.0,400.0,0.8,BASELINE,none,14.174285737710044,0,573.4714628383517,6959708.941328071,0.5626567344364675,0.38452467214230635,-0.05782072081898631,0.38452467214230635,0.004190468442185248,0,0,0,nan,0.20000000000002055,15666.702374894172,560.8616986267645,1,
9,15000.0,400.0,0.8,BASELINE,none,12.73450600669471,0,573.474618177861,6959872.627135524,0.5626567344364675,0.38452467214230635,-0.05779837538623752,0.38452467214230635,0.004191824957641164,0,0,0,nan,0.2000000000000213,15666.705530233681,560.8616524819784,1,
0,15000.0,400.0,0.8,HYBRID,oracle,18.778014593675813,0,564.9805354215205,6942857.308886376,0.15907895606801742,0.4181366156043766,-0.07341849675468519,0.4181366156043766,0.0042296012336897225,0,0,0,0.5136520729897605,0.01137110341653463,15658.21144747734,561.0104996819415,1,
1,15000.0,400.0,0.8,HYBRID,oracle,19.963734071409363,0,564.9976678751409,6943244.288823223,0.15907895606801742,0.4181366156043766,-0.07366705606356032,0.4181366156043766,0.004220615406324464,0,0,0,0.5279325952561429,0.011427991822669122,15658.228579930961,561.0103248956268,1,
2,15000.0,400.0,0.8,HYBRID,oracle,16.950675073280507,0,564.9906515590847,6942772.455380905,0.15907895606801742,0.4181366156043766,-0.0738122883477862,0.4181366156043766,0.00424017483376341,0,0,0,0.5493249267185014,0.011212503255785536,15658.221563614905,561.0103216172123,1,
3,15000.0,400.0,0.8,HYBRID,oracle,14.440845787492234,0,565.0058310963213,6942866.2470910875,0.15907895606801742,0.4181366156043766,-0.07412915865744987,0.4181366156043766,0.00424858089140481,0,0,0,0.47582087917358784,0.011092819646992234,15658.236743152142,561.0099720857073,1,
4,15000.0,400.0,0.8,HYBRID,oracle,12.011445885629294,0,564.9801822267473,6942499.475565926,0.15907895606801742,0.4181366156043766,-0.07327274214283726,0.4181366156043766,0.004250025920390135,0,0,0,0.5552207810366578,0.010823638219110858,15658.211094282568,561.0104738593541,1,
5,15000.0,400.0,0.8,HYBRID,oracle,13.068849249882618,0,565.0019462071359,6942935.398067865,0.15907895606801742,0.4181366156043766,-0.07342365035970813,0.4181366156043766,0.004250341643795935,0,0,0,0.5811507501166062,0.010936570303441988,15658.232858262956,561.0102061353722,1,
6,15000.0,400.0,0.8,HYBRID,oracle,16.37997863644672,0,565.0219599083066,6943310.949437754,0.15907895606801742,0.4181366156043766,-0.07358333409396207,0.4181366156043766,0.004243207424076546,0,0,0,0.5366880302189898,0.011119786163572608,15658.252871964127,561.00977993192,1,
7,15000.0,400.0,0.8,HYBRID,oracle,12.925924186991516,0,564.9954610541463,6942860.952780963,0.15907895606801742,0.4181366156043766,-0.07334997915334024,0.4181366156043766,0.004250089317340246,0,0,0,0.5324091463410525,0.010843708055261926,15658.226373109967,561.0102805026895,1,
8,15000.0,400.0,0.8,HYBRID,oracle,14.174285737710044,0,564.9943328052759,6942792.475122092,0.15907895606801742,0.4181366156043766,-0.07360140312409096,0.4181366156043766,0.004248886993655012,0,0,0,0.5923809289557873,0.011064892464841653,15658.225244861096,561.0102841107682,1,
9,15000.0,400.0,0.8,HYBRID,oracle,12.73450600669471,0,564.9724757261574,6942523.94370942,0.15907895606801742,0.4181366156043766,-0.0732933805244957,0.4181366156043766,0.004250140548178961,0,0,0,0.5238273266378695,0.011110481851771119,15658.203387781978,561.0106082177214,1,
