step,time_s,case_name,alt_ft,vc_kts,theta_deg,phi_deg,hdot_fps,q_dps,elev_raw,elev_comp,elev_plant,throttle,speedbrake,case_gamma_estimate,physical_gamma,comp_factor,mrac_elev,observer_bias_q,observer_bias_theta,detector_severity,detector_confidence,rl_residual,interlock_tripped
1,0.0,FULL_STACK,15093.313024766743,488.1519216886288,0.38452467214230635,1.8561373792364864,9.821049311799793,-0.0026533576361596626,-0.013178971090217385,-0.027118056506713187,-0.027118056506713187,0.15,0.0020833333333333333,1.0,1.0,1.0,-0.0139390854164958,0.0,0.0,1.0,1.0,0.0,False
2,0.008333,FULL_STACK,15093.394504960626,488.18150881074155,0.38436161825509524,1.919778420088612,9.827116970324765,0.05072708965995419,-0.010262304423550719,-0.024257339043716544,-0.024257339043716544,0.15,0.004166666666666667,1.0,1.0,1.0,-0.013995034620165825,0.0,0.0,1.0,1.0,0.0,False
3,0.016667,FULL_STACK,15093.476652249694,488.20780438582295,0.38474586184362003,1.9409926522514578,9.86336194613172,0.08805541860028937,-0.007345637756884052,-0.021331884417235804,-0.021331884417235804,0.15,0.00625,1.0,1.0,1.0,-0.013986246660351753,0.0,0.0,1.0,1.0,0.0,False
4,0.025,FULL_STACK,15093.559102054685,488.2304171774168,0.38555868353137346,1.9218275625280399,9.931398174407121,0.10986146405334254,-0.004428971090217386,-0.018376906865139757,-0.018376906865139757,0.15,0.008333333333333333,1.0,1.0,1.0,-0.013947935774922371,0.0,0.0,1.0,1.0,0.0,False
5,0.033333,FULL_STACK,15093.642256896943,488.26080189002977,0.3866301034666381,1.8613813887433655,9.936673631805398,0.11913083122433728,-0.0016312067617580558,-0.015509745966355529,-0.015509745966355529,0.15,0.010416666666666666,1.0,1.0,1.0,-0.013878539204597473,0.0,0.0,1.0,1.0,0.0,False
6,0.041667,FULL_STACK,15093.72486589849,488.2951855007668,0.38767761346163127,1.8409686052452523,9.909467129051734,0.11503038806949036,-0.0018848722992535353,-0.015755331349193644,-0.015755331349193644,0.15,0.012499999999999999,1.0,1.0,1.0,-0.01387045904994011,0.0,0.0,1.0,1.0,0.0,False
7,0.05,FULL_STACK,15093.80721797049,488.33330700245756,0.38858049377034726,1.8614556236199367,9.850814427088466,0.11290194097469224,-0.002115541733068011,-0.016009687110048316,-0.016009687110048316,0.15,0.014583333333333332,1.0,1.0,1.0,-0.013894145376980305,0.0,0.0,1.0,1.0,0.0,False
8,0.058333,FULL_STACK,15093.888953842223,488.3638008818216,0.3893832648903938,1.9234332486132129,9.854685439048463,0.11039048737157219,-0.0024466662171295705,-0.016395243673305852,-0.016395243673305852,0.15,0.016666666666666666,1.0,1.0,1.0,-0.013948577456176281,0.0,0.0,1.0,1.0,0.0,False
9,0.066667,FULL_STACK,15093.97130877152,488.39042253805934,0.3902678370116158,1.9429938540311469,9.89071405626124,0.10811314610286096,-0.0019083221725337963,-0.0158502434662693,-0.0158502434662693,0.15,0.01875,1.0,1.0,1.0,-0.013941921293735504,0.0,0.0,1.0,1.0,0.0,False
10,0.075,FULL_STACK,15094.05399248749,488.41325206701146,0.3912503959711574,1.9221582194596636,9.958743480662042,0.1023006891326797,-0.0014776650924713517,-0.01538147852909874,-0.01538147852909874,0.15,0.020833333333333332,1.0,1.0,1.0,-0.013903813436627388,0.0,0.0,1.0,1.0,0.0,False
