step,time_s,case_name,alt_ft,vc_kts,theta_deg,phi_deg,hdot_fps,q_dps,elev_raw,elev_comp,elev_plant,throttle,speedbrake,case_gamma_estimate,physical_gamma,comp_factor,mrac_elev,observer_bias_q,observer_bias_theta,detector_severity,detector_confidence,mmae_gamma_hat,mmae_best_gamma,phi_twin_gamma_hat,phi_twin_conf,residual_enabled,rl_residual,interlock_tripped
1,0.0,FULL_STACK,15093.313024766743,488.1519216886288,0.38452467214230635,1.8561373792364864,9.821049311799793,-0.0026533576361596626,-0.013178971090217385,-0.0360754738053682,-0.0360754738053682,0.15,0.0020833333333333333,0.751703405283561,1.0,1.3303119195299844,-0.0139390854164958,0.0,0.0,1.0,1.0,0.751703405283561,0.6,1.0,0.0,0,0.0,0
2,0.008333,FULL_STACK,15093.394504960626,488.1807406576364,0.38436161825509524,1.919778420088612,9.830298432448254,0.09438617579160115,-0.010262304423550719,-0.03283278237739725,-0.03283278237739725,0.15,0.004166666666666667,0.7388146019697612,1.0,1.3535195397247017,-0.013995034620165825,0.0,0.0,1.0,1.0,0.7388146019697612,0.6,1.0,0.0,0,0.0,0
3,0.016667,FULL_STACK,15093.476703062654,488.20655828384747,0.3851094810052814,1.9409927318433813,9.869014077383708,0.17302635442525097,-0.007345637756884052,-0.028868905793630585,-0.028868905793630585,0.15,0.00625,0.7388146019697612,1.0,1.3535195397247017,-0.013983131386339664,0.0,0.0,1.0,1.0,0.7388146019697612,0.6,1.0,0.0,0,0.0,0
4,0.025,FULL_STACK,15093.55920779705,488.2287758195415,0.3866299950354954,1.9218277596579973,9.939613506372705,0.23054173609236459,-0.004428971090217386,-0.024865995867201115,-0.024865995867201115,0.15,0.008333333333333333,0.7388146019697612,1.0,1.3535195397247017,-0.013942389748990536,0.0,0.0,1.0,1.0,0.7388146019697612,0.6,1.0,0.0,0,0.0,0
5,0.033333,FULL_STACK,15093.642442103475,488.25883118543885,0.3887065344719992,1.8613819095221658,9.94762018187969,0.26986774042405903,-0.0015123044235507196,-0.02082087597858647,-0.02082087597858647,0.15,0.010416666666666666,0.7388146019697612,1.0,1.3535195397247017,-0.013870462775230408,0.0,0.0,1.0,1.0,0.7388146019697612,0.6,1.0,0.0,0,0.0,0
6,0.041667,FULL_STACK,15093.725154291838,488.29296343677885,0.3910095052398628,1.8409690413467998,9.92327358619194,0.2895507886780538,-0.0007867455753751641,-0.019824216795627517,-0.019824216795627517,0.15,0.012499999999999999,0.7388146019697612,1.0,1.3535195397247017,-0.013859675265848637,0.0,0.0,1.0,1.0,0.7388146019697612,0.6,1.0,0.0,0,0.0,0
7,0.05,FULL_STACK,15093.807633776218,488.3309142627341,0.3933659303781952,1.8614549696758198,9.867591645046794,0.30464544759226,-0.0007253314314423413,-0.01976930799966485,-0.01976930799966485,0.15,0.014583333333333332,0.7388146020107929,1.0,1.3535195396495312,-0.01388052199035883,0.0,0.0,1.0,1.0,0.7388146020107929,0.6,1.0,0.0,0,0.0,0
8,0.058333,FULL_STACK,15093.889522224665,488.3612368822684,0.3957656750344302,1.9234297917238063,9.87486184023647,0.31738433134181715,-0.0007955153900744708,-0.018826312462535702,-0.018826312462535702,0.15,0.016666666666666666,0.7822835407840876,1.0,1.2783088840111527,-0.01393199898302555,0.0,0.0,1.0,1.0,0.7822835407840876,0.6,1.0,0.0,0,0.0,0
9,0.066667,FULL_STACK,15093.972060937434,488.38780129584677,0.39837423322154386,1.9429902092464832,9.914263845006797,0.32340621713982537,-1.9889827092484818e-05,-0.015667010621391475,-0.015667010621391475,0.15,0.01875,0.8898859658024362,1.0,1.1237394884616152,-0.013921963050961494,0.0,0.0,1.0,1.0,0.8898859658024362,1.0,1.0,0.0,0,0.0,0
10,0.075,FULL_STACK,15094.054954864085,488.41076919442185,0.4011499090169155,1.922157855880574,9.985253620942776,0.31272063649966436,0.0006288424453691487,-0.014417302080259554,-0.014417302080259554,0.15,0.020833333333333332,0.9191495828746152,1.0,1.0879621974831641,-0.013880499638617039,0.0,0.0,1.0,1.0,0.9191495828746152,1.0,1.0,0.0,0,0.0,0
