step,time_s,case_name,alt_ft,vc_kts,theta_deg,phi_deg,hdot_fps,q_dps,elev_raw,elev_comp,elev_plant,throttle,speedbrake,case_gamma_estimate,physical_gamma,comp_factor,mrac_elev,observer_bias_q,observer_bias_theta,detector_severity,detector_confidence,mmae_gamma_hat,mmae_best_gamma,phi_twin_gamma_hat,phi_twin_conf,residual_enabled,rl_residual,interlock_tripped
1,0.0,BASELINE,15093.313024766743,488.1519216886288,0.38452467214230635,1.8561373792364864,9.821049311799793,-0.0026533576361596626,-0.013178971090217385,-0.013178971090217385,-0.013178971090217385,0.15,0.0020833333333333333,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
2,0.008333,BASELINE,15093.394504960626,488.18270418327506,0.38436161825509524,1.919778420088612,9.822166137868257,-0.017212999598424865,-0.010262304423550719,-0.010262304423550719,-0.010262304423550719,0.15,0.004166666666666667,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
3,0.016667,BASELINE,15093.476573172957,488.20979933400804,0.3841800158653907,1.9409925285491898,9.8543353170778,-0.04734385093327397,-0.007345637756884052,-0.007345637756884052,-0.007345637756884052,0.15,0.00625,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
4,0.025,BASELINE,15093.558933813125,488.23320209947065,0.3838651459043703,1.9218272521091333,9.91762256889951,-0.09207678727951886,-0.004428971090217386,-0.004428971090217386,-0.004428971090217386,0.15,0.008333333333333333,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
5,0.033333,BASELINE,15093.641951736063,488.26436419363193,0.3832546664856595,1.8613805610115803,9.917393334659433,-0.14818102313069123,-0.0029029215219071236,-0.0029029215219071236,-0.0029029215219071236,0.15,0.010416666666666666,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
6,0.041667,BASELINE,15093.724374502897,488.29939892708273,0.38207578148823157,1.8409678807397567,9.884295182419484,-0.21005739004734508,-0.0037558182231501955,-0.0037558182231501955,-0.0037558182231501955,0.15,0.012499999999999999,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
7,0.05,BASELINE,15093.806490920484,488.33814305649787,0.38027106720738196,1.8614565958667313,9.818932839898599,-0.265929660065164,-0.004599571170808158,-0.004599571170808158,-0.004599571170808158,0.15,0.014583333333333332,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
8,0.058333,BASELINE,15093.887930311263,488.3692094624896,0.3779186592095176,1.9234387339318721,9.81529648905627,-0.31819938131537634,-0.005535698867418129,-0.005535698867418129,-0.005535698867418129,0.15,0.016666666666666666,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
9,0.066667,BASELINE,15093.969922944903,488.396354380668,0.3752336373528841,1.942999286490481,9.842965088323043,-0.36639294089145114,-0.005606061961629042,-0.005606061961629042,-0.005606061961629042,0.15,0.01875,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
10,0.075,BASELINE,15094.052170962095,488.41964938605355,0.3722641629381662,1.9221573855800411,9.901770713004801,-0.41392719160687474,-0.005786781155871712,-0.005786781155871712,-0.005786781155871712,0.15,0.020833333333333332,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
11,0.083333,BASELINE,15094.135038178414,488.4505044105844,0.36897523869817755,1.8600402356811234,9.897482843352085,-0.45719495549335853,-0.005928286621760122,-0.005928286621760122,-0.005928286621760122,0.15,0.022916666666666665,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
12,0.091667,BASELINE,15094.217279586941,488.485161826036,0.3652192293248819,1.8406279395282494,9.860156017665483,-0.49777389747021844,-0.00695772968521364,-0.00695772968521364,-0.00695772968521364,0.15,0.024999999999999998,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
13,0.1,BASELINE,15094.299176629633,488.5235470645142,0.36101447127559044,1.8621000359511661,9.790207883889234,-0.5312486823967639,-0.007883487434727637,-0.007883487434727637,-0.007883487434727637,0.15,0.02708333333333333,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
14,0.108333,BASELINE,15094.380356300622,488.55424779119886,0.3564493483739174,1.9251264497098701,9.781747153624979,-0.5605314109966549,-0.008843594751059308,-0.008843594751059308,-0.008843594751059308,0.15,0.029166666666666664,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
15,0.116667,BASELINE,15094.46204842627,488.5810212956191,0.3517432199906733,1.9456728952441387,9.80437860098947,-0.585497703410894,-0.008916871229484275,-0.008916871229484275,-0.008916871229484275,0.15,0.031249999999999997,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
16,0.125,BASELINE,15094.543953165412,488.60394051048377,0.3469467934913316,1.9257800566465644,9.85799925409383,-0.6097103534247704,-0.009084187861892799,-0.009084187861892799,-0.009084187861892799,0.15,0.03333333333333333,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
17,0.133333,BASELINE,15094.626433499157,488.63440955818373,0.34202550379829655,1.864549144872448,9.848479818724115,-0.6296926002499964,-0.009196734419653291,-0.009196734419653291,-0.009196734419653291,0.15,0.035416666666666666,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
18,0.141667,BASELINE,15094.7082445845,488.66867527784007,0.3368310794302684,1.8460448551265625,9.80587429525004,-0.6471237552982911,-0.01018275305917133,-0.01018275305917133,-0.01018275305917133,0.15,0.0375,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
19,0.15,BASELINE,15094.789667125791,488.7066651809821,0.3313808052906184,1.8684626218703762,9.73064698374761,-0.6576994396832481,-0.0110523582203175,-0.0110523582203175,-0.0110523582203175,0.15,0.03958333333333333,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
20,0.158333,BASELINE,15094.870328456163,488.736976590381,0.3257607417414032,1.9324581626574642,9.716851594269185,-0.6644199585207343,-0.011943682098298573,-0.011943682098298573,-0.011943682098298573,0.15,0.041666666666666664,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
21,0.166667,BASELINE,15094.951457366347,488.76336630635706,0.32018800574476997,1.9539054646479561,9.734157655286499,-0.6672692116902894,-0.011937546439369518,-0.011937546439369518,-0.011937546439369518,0.15,0.04375,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.0,0
