step,time_s,case_name,alt_ft,vc_kts,theta_deg,phi_deg,hdot_fps,q_dps,elev_raw,elev_comp,elev_plant,throttle,speedbrake,case_gamma_estimate,physical_gamma,comp_factor,mrac_elev,observer_bias_q,observer_bias_theta,detector_severity,detector_confidence,mmae_gamma_hat,mmae_best_gamma,residual_enabled,rl_residual,interlock_tripped
1,0.0,HYBRID,15093.313024766743,488.1519216886288,0.38452467214230635,1.8561373792364864,9.821049311799793,-0.0026533576361596626,-0.013178971090217385,-0.017532142328457262,-0.017532142328457262,0.15,0.0020833333333333333,0.751703405283561,1.0,1.3303119195299844,0.0,0.0,0.0,1.0,1.0,0.751703405283561,0.6,0,0.0,0
2,0.008333,HYBRID,15093.394504960626,488.1823308674304,0.38436161825509524,1.919778420088612,9.823712281019766,0.004004665237247831,-0.010262304423550719,-0.013621813825286726,-0.013621813825286726,0.15,0.004166666666666667,0.7533728294318915,1.0,1.3273640366803336,0.0,0.0,0.0,1.0,1.0,0.7533728294318915,0.6,0,0.0,0
3,0.016667,HYBRID,15093.476597867906,488.2092630211917,0.3843567293558446,1.9409925671611343,9.856795177382725,-0.009987372080566265,-0.007345637756884052,-0.009257036447643434,-0.009257036447643434,0.15,0.00625,0.7935193729040607,1.0,1.2602086781325545,0.0,0.0,0.0,1.0,1.0,0.7935193729040607,0.6,0,0.0,0
4,0.025,HYBRID,15093.558980625123,488.23260067547244,0.38435298823082387,1.9218273411001079,9.920757879453898,-0.04585987297727423,-0.004428971090217386,-0.00561650177656433,-0.00561650177656433,0.15,0.008333333333333333,0.7885639970235407,1.0,1.2681278929478532,0.0,0.0,0.0,1.0,1.0,0.7885639970235407,0.6,0,0.0,0
5,0.033333,HYBRID,15093.642026659101,488.2637206073174,0.3841274394251143,1.8613807910306388,9.921230648559312,-0.09679534197523765,-0.0025764875339943467,-0.003267315707690661,-0.003267315707690661,0.15,0.010416666666666666,0.7885639970235407,1.0,1.2681278929478532,0.0,0.0,0.0,1.0,1.0,0.7885639970235407,0.6,0,0.0,0
6,0.041667,HYBRID,15093.724484425038,488.2987654362513,0.3833765356848325,1.8409680488961537,9.888731204175663,-0.1576485301385049,-0.0033463423810663395,-0.004243590112783759,-0.004243590112783759,0.15,0.012499999999999999,0.7885639970235407,1.0,1.2681278929478532,0.0,0.0,0.0,1.0,1.0,0.7885639970235407,0.6,0,0.0,0
7,0.05,HYBRID,15093.806639946997,488.337487888153,0.38200832214147856,1.8614562537211372,9.824183710089947,-0.21198894433367765,-0.004132327552408581,-0.005240319832006254,-0.005240319832006254,0.15,0.014583333333333332,0.7885639970235407,1.0,1.2681278929478532,0.0,0.0,0.0,1.0,1.0,0.7885639970235407,0.6,0,0.0,0
8,0.058333,HYBRID,15093.888127237558,488.3685252879272,0.38010516825042945,1.923437186088372,9.821494312882287,-0.2620793383181115,-0.005026812798130759,-0.006374641521936861,-0.006374641521936861,0.15,0.016666666666666666,0.7885639970235407,1.0,1.2681278929478532,0.0,0.0,0.0,1.0,1.0,0.7885639970235407,0.6,0,0.0,0
9,0.066667,HYBRID,15093.970175929368,488.39563092619363,0.37788755044483047,1.9429974736911633,9.850262199577553,-0.3072348929440359,-0.005051280585674365,-0.00640566980579963,-0.00640566980579963,0.15,0.01875,0.7885639970235407,1.0,1.2681278929478532,0.0,0.0,0.0,1.0,1.0,0.7885639970235407,0.6,0,0.0,0
10,0.075,HYBRID,15094.052489861846,488.4188981710313,0.3754107846849884,1.9221565072198392,9.910239985206953,-0.35204398157165073,-0.005179438217419871,-0.006568190073310246,-0.006568190073310246,0.15,0.020833333333333332,0.7885639970235407,1.0,1.2681278929478532,0.0,0.0,0.0,1.0,1.0,0.7885639970235407,0.6,0,0.0,0
11,0.083333,HYBRID,15094.13543279469,488.4497284237191,0.37263727145982234,1.8600417757720775,9.907230662310969,-0.39279619026477236,-0.005263525937384582,-0.006674824056451884,-0.006674824056451884,0.15,0.022916666666666665,0.7885639970235407,1.0,1.2681278929478532,0.0,0.0,0.0,1.0,1.0,0.7885639970235407,0.6,0,0.0,0
12,0.091667,HYBRID,15094.21776112914,488.48436616708216,0.3694176284697913,1.840630236044439,9.871282117546777,-0.4311508470104098,-0.0062355318700544555,-0.007907451891781344,-0.007907451891781344,0.15,0.024999999999999998,0.7885639970235407,1.0,1.2681278929478532,0.0,0.0,0.0,1.0,1.0,0.7885639970235407,0.6,0,0.0,0
13,0.1,HYBRID,15094.299756970257,488.5227159545455,0.3657677635619749,1.8621011700131231,9.802898819947726,-0.4615304197060113,-0.007103954808076768,-0.009008723242363162,-0.009008723242363162,0.15,0.02708333333333333,0.7885639970235407,1.0,1.2681278929478532,0.0,0.0,0.0,1.0,1.0,0.7885639970235407,0.6,0,0.0,0
14,0.108333,HYBRID,15094.381049573421,488.55337474585434,0.36178330919184426,1.9251240191015218,9.796164316485012,-0.4869954949588623,-0.008004102868471294,-0.01015022610553237,-0.01015022610553237,0.15,0.029166666666666664,0.7885639970235407,1.0,1.2681278929478532,0.0,0.0,0.0,1.0,1.0,0.7885639970235407,0.6,0,0.0,0
15,0.116667,HYBRID,15094.462869595736,488.58009864391903,0.3576896401706571,1.9456692849480957,9.820698058583488,-0.5074058660572793,-0.00800975530819827,-0.010157394122013354,-0.010157394122013354,0.15,0.031249999999999997,0.7885639970235407,1.0,1.2681278929478532,0.0,0.0,0.0,1.0,1.0,0.7885639970235407,0.6,0,0.0,0
16,0.125,HYBRID,15094.544918864965,488.60298218324067,0.35354361460467365,1.9257779311849506,9.87631935615188,-0.5275463635182356,-0.008101717296681096,-0.010274013684699377,-0.010274013684699377,0.15,0.03333333333333333,0.7885639970235406,1.0,1.2681278929478534,0.0,0.0,0.0,1.0,1.0,0.7885639970235406,0.6,0,0.0,0
17,0.133333,HYBRID,15094.627560544759,488.6334211708898,0.3493066458317527,1.864551790966222,9.868932300020068,-0.5438638617584778,-0.008134074811482811,-0.010315047151765908,-0.010315047151765908,0.15,0.035416666666666666,0.7885639970235405,1.0,1.2681278929478537,0.0,0.0,0.0,1.0,1.0,0.7885639970235405,0.6,0,0.0,0
18,0.141667,HYBRID,15094.709551416337,488.6676648141089,0.34482707356719444,1.8460489205755408,9.828583569513931,-0.5581389255812406,-0.009040326462714762,-0.011464292387653636,-0.011464292387653636,0.15,0.0375,0.7885638430201465,1.0,1.2681281406082066,0.0,0.0,0.0,1.0,1.0,0.7885638430201465,0.6,0,0.0,0
19,0.15,HYBRID,15094.791173029691,488.7056199225522,0.34011794310183213,1.8684644077767625,9.755823292674727,-0.5649197422291066,-0.009831002213008014,-0.012487126795323166,-0.012487126795323166,0.15,0.03958333333333333,0.7872909736681816,1.0,1.2701784136311827,0.0,0.0,0.0,1.0,1.0,0.7872909736681816,0.6,0,0.0,0
20,0.158333,HYBRID,15094.87205517292,488.7358915533133,0.3352706266410662,1.9324531518729702,9.744685595594133,-0.5672690691282074,-0.010641769716904666,-0.014344529294201318,-0.014344529294201318,0.15,0.041666666666666664,0.7418695656473393,1.0,1.347945846959528,0.0,0.0,0.0,1.0,1.0,0.7418695656473393,0.6,0,0.0,0
21,0.166667,HYBRID,15094.953427765518,488.7621665905718,0.33050703343167875,1.95389786882065,9.76513965154259,-0.5612179841915969,-0.010548380035055203,-0.014605769261328306,-0.014605769261328306,0.15,0.04375,0.7222063998357244,1.0,1.3846457193227082,0.0,0.0,0.0,1.0,1.0,0.7222063998357244,0.6,0,0.0,0
22,0.175,HYBRID,15095.034998174757,488.7846030501697,0.3259122253804764,1.9348503283122682,9.81683220800607,-0.5538800026762137,-0.01051967428951496,-0.013891033843381442,-0.013891033843381442,0.15,0.04583333333333333,0.7572995939771029,1.0,1.3204813629283885,0.0,0.0,0.0,1.0,1.0,0.7572995939771029,0.6,0,0.0,0
23,0.183333,HYBRID,15095.117128282785,488.8146700730426,0.321455811540614,1.8744004109043404,9.805358684903325,-0.5470617322179764,-0.010398175018219324,-0.012948301866552792,-0.012948301866552792,0.15,0.04791666666666666,0.8030531822152843,1.0,1.245247540444859,0.0,0.0,0.0,1.0,1.0,0.8030531822152843,0.8,0,0.0,0
24,0.191667,HYBRID,15095.19857179746,488.8486025830242,0.31695578462227963,1.8534776537452529,9.761014106526614,-0.5432655544203705,-0.011141465528420462,-0.01322502118194971,-0.01322502118194971,0.15,0.049999999999999996,0.8424535110482084,1.0,1.187009119061973,0.0,0.0,0.0,1.0,1.0,0.8424535110482084,1.0,0,0.0,0
